-46.95854,-22.34885
-46.95863,-22.35075
-46.9599,-22.3524
-46.96206,-22.354
-46.96442,-22.35575
-46.96694,-22.35762
-46.96907,-22.35988
-46.96998,-22.36303
-46.9702,-22.36591
-46.97039,-22.36864
-46.97059,-22.37139
-46.97079,-22.37402
-46.97099,-22.37649
-46.97121,-22.37915
-46.97141,-22.38165
-46.97161,-22.38426
-46.9718,-22.38663
-46.972,-22.38894
-46.97219,-22.39127
-46.9724,-22.39373
-46.97262,-22.39576
-46.9734,-22.39796
-46.97393,-22.39869
-46.97297,-22.39917
-46.97216,-22.39995
-46.97144,-22.40074
-46.97101,-22.4012
-46.97058,-22.40165
-46.97011,-22.40214
-46.96965,-22.40263
-46.96919,-22.40318
-46.96858,-22.40403
-46.96806,-22.40478
-46.96751,-22.40551
-46.96685,-22.40641
-46.96631,-22.40733
-46.96577,-22.40835
-46.96531,-22.40932
-46.96495,-22.41022
-46.9646,-22.41114
-46.9642,-22.41209
-46.96381,-22.41309
-46.9635,-22.41399
-46.96292,-22.41493
-46.96197,-22.41604
-46.96136,-22.41673
-46.96094,-22.41713
-46.9603,-22.41698
-46.95929,-22.41695
-46.95843,-22.41696
